group,SubID,LR,Outcome_Sens,Response_cons,Loss_Aver
young,65,0.107045708,0.493810873,1.541370231,1.557537734
young,66,0.076398505,0.586885051,0.685309991,0.49733643
young,67,0.152138391,0.643447559,1.043090967,4.084853997
young,68,0.128156172,0.446724698,0.720230828,0.758814833
young,69,0.173828051,0.711074555,1.209099253,1.123870589
young,70,0.104842521,0.545206363,0.590758173,0.661051025
young,71,0.05745609,0.684067546,1.541836838,1.176841384
young,72,0.259606102,0.493947192,0.86493071,0.338795297
young,73,0.159197794,0.485818258,1.045082164,0.147118415
young,74,0.242048643,0.772594327,1.705392482,0.677229434
young,75,0.098009472,0.234784581,1.48872101,1.668275242
young,76,0.102954531,0.544614499,0.716030928,1.057488656
young,77,0.076782752,0.586261397,0.733057591,1.244240607
young,78,0.050220251,0.547743128,1.890010315,1.979546148
young,79,0.289872416,0.540588674,1.035807477,0.340324615
young,80,0.140254609,0.539040007,0.862306563,1.80934476
young,81,0.070923034,0.530761385,0.683355475,0.533551098
young,82,0.047301256,0.517224198,0.648659315,0.767883176
young,83,0.085933558,0.496283039,1.3597199,3.147389813
young,84,0.540857203,0.379030906,0.712150041,1.132013567
young,85,0.359594278,0.404474546,1.415751348,0.454408833
young,86,0.190079799,0.670074066,0.828986929,1.074477536
young,87,0.145843562,0.442469231,0.703380828,1.534343689
young,88,0.157483299,0.570038287,1.142533328,0.702893826
young,89,0.108253505,0.490116442,0.793454528,1.360464041
young,90,0.129191087,0.590925063,1.400296944,1.323933175
old,91,0.802066692,0.249659708,0.893098138,0.232452566
old,92,0.923690919,0.652268661,1.037330864,0.043899944
old,93,0.566313851,0.438851501,0.837646645,0.331278995
old,94,0.747413244,0.336860553,1.024410188,0.189071952
old,95,0.920816079,0.362562507,0.728325237,0.484879208
old,96,0.106494906,0.360364825,1.061448153,0.954145148
old,97,0.445430018,0.656574091,1.862240033,0.193396886
old,98,0.048509851,0.112076213,1.765333666,0.096816416
old,99,0.111188137,0.334979959,0.882960352,0.435209372
old,100,0.084903114,0.180942283,1.408190539,0.380570323
old,101,0.273603053,0.855837378,1.745465936,0.536336811
old,102,0.853563046,0.409192493,0.604424061,0.282991017
old,103,0.426046509,0.373790329,1.408001107,0.215203451
old,104,0.172852058,0.485556019,0.910935151,0.199700204
old,105,0.08896209,0.247353978,1.443329874,2.46953391
old,106,0.064467256,0.792207988,2.288332674,1.953668878
old,107,0.737606066,0.182703693,1.02420484,0.226410393
old,108,0.132393279,0.361409296,0.805469733,0.382180845
old,109,0.893176372,0.278696087,0.955935517,0.17419397
old,110,0.264261141,0.46428374,0.743773621,0.214512817
old,111,0.126688929,0.391909752,0.756049038,0.345324661
old,112,0.135302204,0.268014785,0.918049445,0.770788718
old,113,0.487039211,0.346451484,1.018251578,0.194961645
old,114,0.939368097,0.413540963,1.012857793,0.101494555
old,115,0.294708325,0.637597842,0.865847853,1.072462823
old,116,0.807781581,0.580902972,0.634048059,0.130254571
old,117,0.190108197,0.484733909,0.698740194,0.22999867
old,118,0.099772406,0.453530621,0.759097525,0.283332668
old,119,0.136490765,0.798915317,1.207645877,0.066560653
old,120,0.500656323,0.04930434,1.302438669,0.075485329
old,121,0.145865822,0.141712531,1.490100562,0.223615588
old,122,0.771413423,0.330094988,0.692560108,0.276168948
old,123,0.232243146,0.20141646,1.19285964,1.054359797
old,124,0.536331004,0.538887091,0.712260599,0.149690994
old,125,0.547787971,0.668669171,0.909237277,0.090758263
old,126,0.051476433,0.841729682,1.99476021,0.747239162
old,127,0.409180217,0.335393824,1.343855124,0.105757555
old,128,0.190883678,0.444081868,1.431872798,0.562012161
old,129,0.132565972,0.301818584,0.827048592,0.683200912
old,130,0.465873164,0.478369265,0.915250185,0.061324884
old,131,0.918604907,0.466665537,0.864087875,0.07513511
old,132,0.281533203,0.304543842,1.358172656,0.475290412
old,133,0.292646935,0.524592889,1.751827784,0.63898483
old,134,0.150480713,0.408328249,0.75162829,0.358562867
old,135,0.391941612,0.417198718,0.791637972,0.482977485
old,136,0.146249839,0.407025871,0.750991241,0.350534347
old,137,0.429519821,0.644194103,1.083929762,1.814580644
old,138,0.262519685,0.383544795,0.989330258,0.200786954
old,139,0.740615645,0.381032953,0.606044274,0.285023662
old,140,0.595151011,0.558504191,1.512386865,0.142987059
old,141,0.676967077,0.34071828,1.112840854,0.09359337
old,142,0.158341023,0.436019696,1.067793865,0.121594435
old,143,0.109914051,0.925101817,1.990175529,1.14816626
old,144,0.164047136,0.523044748,1.333644895,0.141511244
old,145,0.163405506,0.522017812,1.334773185,0.138871628
old,146,0.474863633,0.387509641,1.318151075,0.244340792
old,147,0.670470981,0.557112116,0.758510225,0.129577904
old,148,0.942930365,0.407221248,0.976801683,0.047675875
old,149,0.522297364,0.720493929,1.697534781,0.123444553
old,150,0.130123438,0.45445047,0.740205292,0.283122743
old,151,0.053243098,0.538223896,1.724830884,0.13605434
old,152,0.188824222,0.054820403,1.989174595,2.194371934
old,153,0.090234182,0.449750388,0.849206966,0.272894247
